epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,929.235,0.48452,2.32244,0.11299,0.40233,0.8732,0.94081,0.95594,0.9902,0.69282,0.53238,0.38286,0.37113,0.16261,1.02657,5.65418,0.16816,0.52103,1.1306,0.000280723,0.000280723,0.000280723
86,939.237,0.51289,2.41991,0.1244,0.39702,0.88554,0.97753,0.95103,0.9877,0.6928,0.53581,0.38311,0.34945,0.15586,1.00727,5.68757,0.15855,0.54494,1.10414,0.00026422,0.00026422,0.00026422
87,948.938,0.46599,2.34629,0.11891,0.36889,0.86642,0.97492,0.96,0.98948,0.69106,0.5969,0.40286,0.36581,0.15991,1.01402,5.62056,0.16304,0.5466,1.10321,0.000247716,0.000247716,0.000247716
88,957.751,0.50209,2.40223,0.13324,0.39889,0.88269,0.97776,0.95802,0.98951,0.67832,0.59045,0.40286,0.359,0.15831,1.01953,5.57889,0.16688,0.55041,1.10376,0.000231213,0.000231213,0.000231213
89,967.383,0.46903,2.37172,0.1163,0.3789,0.86585,0.97752,0.95909,0.98899,0.68352,0.5428,0.385,0.3568,0.16373,1.02676,5.55444,0.16312,0.55163,1.10488,0.00021471,0.00021471,0.00021471
90,977.129,0.49716,2.31812,0.12869,0.39521,0.89096,0.97335,0.94214,0.98648,0.68303,0.54625,0.385,0.371,0.16425,1.02119,5.50959,0.18503,0.54738,1.10122,0.000198206,0.000198206,0.000198206
91,987.151,0.40499,1.74964,0.05432,0.31904,0.84506,0.94243,0.94214,0.98403,0.68736,0.55538,0.385,0.36591,0.18615,1.01283,5.44977,0.17365,0.55366,1.09107,0.000181703,0.000181703,0.000181703
92,997.238,0.39244,1.66128,0.02934,0.31663,0.82892,0.94649,0.90643,0.98098,0.66435,0.56921,0.385,0.36287,0.18254,1.01388,5.51172,0.15568,0.57881,1.09922,0.0001652,0.0001652,0.0001652
93,1007.1,0.41126,1.7391,0.04,0.32235,0.84381,0.89296,0.93494,0.97433,0.66598,0.57628,0.385,0.37245,0.18762,1.02551,5.52661,0.15599,0.598,1.10949,0.000148696,0.000148696,0.000148696
94,1016.23,0.38297,1.67831,0.03831,0.32595,0.83712,0.90802,0.93578,0.97478,0.66448,0.60363,0.405,0.38485,0.18644,1.0228,5.48078,0.13327,0.61641,1.11466,0.000132193,0.000132193,0.000132193
95,1027.98,0.38722,1.6379,0.04859,0.31354,0.84255,0.89506,0.93661,0.97354,0.67482,0.5783,0.385,0.36621,0.18382,1.01145,5.43035,0.12271,0.60334,1.10193,0.00011569,0.00011569,0.00011569
96,1037.61,0.37094,1.57515,0.04288,0.30735,0.83945,0.9137,0.94086,0.9768,0.67125,0.56851,0.405,0.38728,0.19044,1.01988,5.39876,0.11328,0.59617,1.10464,9.91865e-05,9.91865e-05,9.91865e-05
97,1047.83,0.35846,1.5578,0.03668,0.29404,0.83293,0.90031,0.94214,0.97744,0.66468,0.58129,0.405,0.39167,0.1877,1.02284,5.37381,0.11559,0.57444,1.10137,8.26832e-05,8.26832e-05,8.26832e-05
98,1057.36,0.39047,1.60505,0.04689,0.31891,0.8396,0.90178,0.94214,0.97814,0.66486,0.58269,0.405,0.3971,0.19181,1.02137,5.39151,0.12031,0.57485,1.10326,6.61799e-05,6.61799e-05,6.61799e-05
99,1067.08,0.35155,1.55754,0.02915,0.28647,0.82516,0.90961,0.9406,0.97848,0.67286,0.58107,0.405,0.40034,0.1975,1.01726,5.39637,0.11769,0.57712,1.10392,4.96766e-05,4.96766e-05,4.96766e-05
100,1081.96,0.35561,1.54664,0.04208,0.29444,0.80804,0.88699,0.94214,0.97637,0.67654,0.56869,0.385,0.38135,0.19334,1.01631,5.39647,0.1113,0.58017,1.10332,3.31733e-05,3.31733e-05,3.31733e-05
